Group,Trans_Dr,Trans_Cr,Transactions
Woolworths Supermarket,"$1,085.20",$0.00,6
Amazon Online Purchase,$854.09,$0.00,6
Coles Supermarket,$681.70,$0.00,5
AGL Energy Bill,$645.00,$0.00,3
Restaurant Dining Out,$520.15,$0.00,5
Medical Centre GP Visit,$340.00,$0.00,4
Gym Membership Fee,$325.00,$0.00,5
Bunnings Warehouse,$288.20,$0.00,3
Petrol Station BP,$247.20,$0.00,3
Uber Eats Food Delivery,$246.65,$0.00,5
Ebay Purchase,$238.00,$0.00,4
Telstra Phone Bill,$190.00,$0.00,2
Chemist Warehouse,$127.25,$0.00,3
Netflix Subscription,$47.97,$0.00,3
Spotify Music Subscription,$29.97,$0.00,3
PayPal Payment Received,$0.00,$505.00,2
Interest Earned,$0.00,$12.50,1
Salary Payment - Employer Co,$0.00,"$22,500.00",5
Transfer from CBA,$0.00,"$3,500.00",7
— TOTAL —,"$5,866.38","$26,517.50",75
