Date,Trans_Details,Trans_Dr,Trans_Cr
2025-07-02 00:00:00,Amazon Online Purchase,$89.99,
2025-07-06 00:00:00,Uber Eats Food Delivery,$45.50,
2025-07-09 00:00:00,Amazon Online Purchase,$134.75,
2025-07-14 00:00:00,Ebay Purchase,$67.80,
2025-07-19 00:00:00,Uber Eats Food Delivery,$38.90,
2025-07-23 00:00:00,Amazon Online Purchase,$210.00,
2025-07-29 00:00:00,Spotify Music Subscription,$9.99,
2025-08-04 00:00:00,Ebay Purchase,$54.20,
2025-08-08 00:00:00,Uber Eats Food Delivery,$52.30,
2025-08-13 00:00:00,Amazon Online Purchase,$178.45,
2025-08-17 00:00:00,Spotify Music Subscription,$9.99,
2025-08-21 00:00:00,Ebay Purchase,$43.60,
2025-08-26 00:00:00,Amazon Online Purchase,$95.00,
2025-09-01 00:00:00,Uber Eats Food Delivery,$61.75,
2025-09-06 00:00:00,PayPal Payment Received,,$320.00
2025-09-10 00:00:00,Amazon Online Purchase,$145.90,
2025-09-14 00:00:00,Spotify Music Subscription,$9.99,
2025-09-19 00:00:00,Uber Eats Food Delivery,$48.20,
2025-09-23 00:00:00,Ebay Purchase,$72.40,
2025-09-27 00:00:00,PayPal Payment Received,,$185.00
TOTAL,— TOTAL —,"$1,368.71",$505.00
